sku_site,sku_catalogo,tipo_match,site_name,current_image_url,catalog_image_url,catalog_files,catalog_source_labels,observacao
A-05-TYPE-C,,sem_match,Carregador completo Tipo C,https://rocglobeaztnwwuhefel.supabase.co/storage/v1/object/public/images/products/1775069154346-z3umy5.webp,,,,SKU do site sem correspondencia segura no catalogo/imagens.
A-607-Q,A-607-Q,exato,Fone de Ouvido A-607 Q,produto_p17_img1.jpg,/imported-product-images-clean/A-607_Q款.png,A-607_Q款.png|A-607_Q款_马卡龙.png,A-607 Q款|A-607 Q款 马卡龙,SKU identico no catalogo e no site. Catalogo tem multiplos arquivos para o mesmo SKU normalizado; nao e seguro vincular automaticamente.
A-607-Q-MC,A-607-Q,provavel,Fone de Ouvido A-607 Q Macaron,produto_p18_img2.jpg,/imported-product-images-clean/A-607_Q款.png,A-607_Q款.png|A-607_Q款_马卡龙.png,A-607 Q款|A-607 Q款 马卡龙,Alias provavel por variante/sufixo; exige revisao manual. Catalogo tem multiplos arquivos para o mesmo SKU normalizado; nao e seguro vincular automaticamente.
A-607-W-PB,A-607-W,provavel,Fone de Ouvido A-607 W com Powerbank,produto_p18_img3.jpg,/imported-product-images-clean/A-607_W款.png,A-607_W款.png,A-607 W款,Alias provavel por variante/sufixo; exige revisao manual.
A-607-Y-2,A-607-Y,provavel,Fone de Ouvido A-607 Y,produto_p18_img4.jpg,/imported-product-images-clean/A-607_Y款.png,A-607_Y款.png,A-607 Y款,Alias provavel por variante/sufixo; exige revisao manual.
AG-690-C,,sem_match,Mouse sem fio,https://rocglobeaztnwwuhefel.supabase.co/storage/v1/object/public/images/products/1774804145232-f5yki.jpg,,,,SKU do site sem correspondencia segura no catalogo/imagens.
AL-15-CC,,sem_match,Cabo USB-C CC altomex,https://rocglobeaztnwwuhefel.supabase.co/storage/v1/object/public/images/products/1775072037099-g6bcg.jpeg,,,,SKU do site sem correspondencia segura no catalogo/imagens.
AL-305-V8,,sem_match,Cabo V8 Altomex,https://rocglobeaztnwwuhefel.supabase.co/storage/v1/object/public/images/products/1774804470777-wb282i.jpg,,,,SKU do site sem correspondencia segura no catalogo/imagens.
AL-306-5G,,sem_match,Cabo IOS 2 METROS,https://rocglobeaztnwwuhefel.supabase.co/storage/v1/object/public/images/products/1774804272041-j6623x.jpg,,,,SKU do site sem correspondencia segura no catalogo/imagens.
AL-C91-TYPE-C,,sem_match,Carregador Veicular AL-C91-TYPE-C,https://rocglobeaztnwwuhefel.supabase.co/storage/v1/object/public/images/products/1774804226784-o2dpde.jpg,,,,SKU do site sem correspondencia segura no catalogo/imagens.
AL-HDMI-10M,,sem_match,Cabo HDMI 10 METROS,https://rocglobeaztnwwuhefel.supabase.co/storage/v1/object/public/images/products/1774804061047-q7l4xd.jpg,,,,SKU do site sem correspondencia segura no catalogo/imagens.
AL-U-32,,sem_match,PENDRIVE AL-U-32GB,https://rocglobeaztnwwuhefel.supabase.co/storage/v1/object/public/images/products/1775072515143-t6x649.jpeg,,,,SKU do site sem correspondencia segura no catalogo/imagens.
C-052,,sem_match,Suporte TV C-052,https://rocglobeaztnwwuhefel.supabase.co/storage/v1/object/public/images/products/1774804122006-tvjuzq.jpg,,,,SKU do site sem correspondencia segura no catalogo/imagens.
EL-3111-5G,,sem_match,Cabo IOS 1M EL-3111-5G,https://rocglobeaztnwwuhefel.supabase.co/storage/v1/object/public/images/products/1774804382616-mwg8xe.jpg,,,,SKU do site sem correspondencia segura no catalogo/imagens.
EL-3111-CC,,sem_match,Cabo USB-C tipo c / tipo c,https://rocglobeaztnwwuhefel.supabase.co/storage/v1/object/public/images/products/1774804427378-0pbs6y.jpg,,,,SKU do site sem correspondencia segura no catalogo/imagens.
EL-3111-TY,,sem_match,Cabo USB Tipo C Eletro,https://rocglobeaztnwwuhefel.supabase.co/storage/v1/object/public/images/products/1775069687823-9crgw.webp,,,,SKU do site sem correspondencia segura no catalogo/imagens.
EL-3111-V8,,sem_match,Cabo V8 EL-3111-V8,https://rocglobeaztnwwuhefel.supabase.co/storage/v1/object/public/images/products/1774804450588-ui4e52.jpg,,,,SKU do site sem correspondencia segura no catalogo/imagens.
F-060,F-060,exato,Fone de Ouvido Sem Fio P2 F-060,produto_p14_img4.jpg,/imported-product-images-clean/F-060.png,F-060.png|F-060黑白.png,F-060|F-060黑白,SKU identico no catalogo e no site. Catalogo tem multiplos arquivos para o mesmo SKU normalizado; nao e seguro vincular automaticamente.
F-060-BW,F-060,provavel,Fone P2 EMB F-060,produto_p14_img5.jpg,/imported-product-images-clean/F-060.png,F-060.png|F-060黑白.png,F-060|F-060黑白,Alias provavel por variante/sufixo; exige revisao manual. Catalogo tem multiplos arquivos para o mesmo SKU normalizado; nao e seguro vincular automaticamente.
I12-TWS,I12,provavel,Fone de ouvido sem fio i12 branco,https://rocglobeaztnwwuhefel.supabase.co/storage/v1/object/public/images/products/1775073405094-1pf8p8m.webp,/imported-product-images-clean/i12(马卡龙).png,i12(马卡龙).png,i12(马卡龙),Alias provavel por variante/sufixo; exige revisao manual.
J-60,,sem_match,Fone Bluetooth J-60,https://rocglobeaztnwwuhefel.supabase.co/storage/v1/object/public/images/products/1774804182765-jqyv1.jpg,,,,SKU do site sem correspondencia segura no catalogo/imagens.
J-70-PRO-B-2,J-70-PRO-B,provavel,Fone de Ouvido Esportivo J-70 PRO B,produto_p19_img3.jpg,/imported-product-images-clean/J-70_PRO_B款.png,J-70_PRO_B款.png,J-70 PRO B款,Alias provavel por variante/sufixo; exige revisao manual.
K9-IP-2IN1,,sem_match,Microfone K9-IP-2IN1,https://rocglobeaztnwwuhefel.supabase.co/storage/v1/object/public/images/products/1774804160989-idfyj.jpeg,,,,SKU do site sem correspondencia segura no catalogo/imagens.
M-10,A-607-M10,provavel,FONE DE OUVIDO M10,https://rocglobeaztnwwuhefel.supabase.co/storage/v1/object/public/images/products/1774802865775-z00fi5.jpg,/imported-product-images-clean/A-607(M10).png,A-607(M10).png,A-607(M10),Alias provavel por variante/sufixo; exige revisao manual.
