name,sku,description,category_slug,catalog_type,price_unit,price_box,stock_unit,stock_box,quantity_per_box,main_image,catalog_files,catalog_source_labels,observacao
,AJ-3452,,,,,,,,,/imported-product-images-clean/AJ-3452.png,AJ-3452.png,AJ-3452,SKU do catalogo nao encontrado no site publico.
,AJ-3453,,,,,,,,,/imported-product-images-clean/AJ-3453.png,AJ-3453.png,AJ-3453,SKU do catalogo nao encontrado no site publico.
,AL-1010,,,,,,,,,/imported-product-images-clean/AL-1010.png,AL-1010.png,AL-1010,SKU do catalogo nao encontrado no site publico.
,AL-2659,,,,,,,,,/imported-product-images-clean/AL-2659.png,AL-2659.png,AL-2659,SKU do catalogo nao encontrado no site publico.
,AL-A155,,,,,,,,,/imported-product-images-clean/AL-A155.png,AL-A155.png,AL-A155,SKU do catalogo nao encontrado no site publico.
,AL-A230,,,,,,,,,/imported-product-images-clean/AL-A230.png,AL-A230.png,AL-A230,SKU do catalogo nao encontrado no site publico.
,AL-C223,,,,,,,,,/imported-product-images-clean/AL-C223.png,AL-C223.png,AL-C223,SKU do catalogo nao encontrado no site publico.
,AL-D890,,,,,,,,,/imported-product-images-clean/AL-D890_C款.png,AL-D890_C款.png,AL-D890 C款,SKU do catalogo nao encontrado no site publico.
,AL-S380,,,,,,,,,/imported-product-images-clean/AL-S380.png,AL-S380.png,AL-S380,SKU do catalogo nao encontrado no site publico.
,AU-4U,,,,,,,,,/imported-product-images-clean/AU-4U.png,AU-4U.png,AU-4U,SKU do catalogo nao encontrado no site publico.
,PN-951,,,,,,,,,/imported-product-images-clean/PN-951.png,PN-951.png,PN-951,SKU do catalogo nao encontrado no site publico.
,PN-952,,,,,,,,,/imported-product-images-clean/PN-952.png,PN-952.png,PN-952,SKU do catalogo nao encontrado no site publico.
,T10,,,,,,,,,/imported-product-images-clean/T10.png,T10.png,T10,SKU do catalogo nao encontrado no site publico.
,T11,,,,,,,,,/imported-product-images-clean/T11.png,T11.png,T11,SKU do catalogo nao encontrado no site publico.
,TX04,,,,,,,,,/imported-product-images-clean/TX04.png,TX04.png,TX04,SKU do catalogo nao encontrado no site publico.
,ZQ-01,,,,,,,,,/imported-product-images-clean/ZQ-01.png,ZQ-01.png,ZQ-01,SKU do catalogo nao encontrado no site publico.
